Local Authority,Library,Month,Type,Loans
CAMBS,Histon Library,2020-01,adult fiction hardback,66
CAMBS,Histon Library,2020-01,adult fiction large print hardback,14
CAMBS,Histon Library,2020-01,adult fiction large print paperback,9
CAMBS,Histon Library,2020-01,adult fiction paperback,124
CAMBS,Histon Library,2020-01,adult non fiction hardback,32
CAMBS,Histon Library,2020-01,adult non fiction large print hardback,2
CAMBS,Histon Library,2020-01,adult non fiction paperback,56
CAMBS,Histon Library,2020-01,adult non-fiction,1
CAMBS,Histon Library,2020-01,adult spoken word cd set,5
CAMBS,Histon Library,2020-01,children's fiction,1
CAMBS,Histon Library,2020-01,children's non-fiction,1
CAMBS,Histon Library,2020-01,children's spoken word cd set,5
CAMBS,Histon Library,2020-01,dvd short,1
CAMBS,Histon Library,2020-01,dvd: 12,3
CAMBS,Histon Library,2020-01,dvd: 15,1
CAMBS,Histon Library,2020-01,dvd: u,4
CAMBS,Histon Library,2020-01,junior fiction,396
CAMBS,Histon Library,2020-01,junior non-fiction,149
CAMBS,Histon Library,2020-01,picture book,2
CAMBS,Histon Library,2020-01,teenage,14
CAMBS,Histon Library,2020-01,young adult,4
CAMBS,Histon Library,2020-01,young adult plus,2
CAMBS,Huntingdon Library,2019-12,adult fiction,42
CAMBS,Huntingdon Library,2019-12,adult fiction hardback,135
CAMBS,Huntingdon Library,2019-12,adult fiction large print hardback,27
CAMBS,Huntingdon Library,2019-12,adult fiction large print paperback,31
CAMBS,Huntingdon Library,2019-12,adult fiction paperback,335
CAMBS,Huntingdon Library,2019-12,adult non fiction hardback,43
CAMBS,Huntingdon Library,2019-12,adult non fiction paperback,87
CAMBS,Huntingdon Library,2019-12,adult non-fiction,6
CAMBS,Huntingdon Library,2019-12,adult spoken word cd,1
CAMBS,Huntingdon Library,2019-12,adult spoken word cd set,6
CAMBS,Huntingdon Library,2019-12,children's fiction,8
CAMBS,Huntingdon Library,2019-12,children's non-fiction,2
CAMBS,Huntingdon Library,2019-12,children's spoken word cd set,2
CAMBS,Huntingdon Library,2019-12,dvd: 12,4
CAMBS,Huntingdon Library,2019-12,dvd: 15,3
CAMBS,Huntingdon Library,2019-12,dvd: pg,3
CAMBS,Huntingdon Library,2019-12,dvd: u,1
CAMBS,Huntingdon Library,2019-12,junior fiction,403
CAMBS,Huntingdon Library,2019-12,junior large print,4
CAMBS,Huntingdon Library,2019-12,junior non-fiction,103
CAMBS,Huntingdon Library,2019-12,map,4
CAMBS,Huntingdon Library,2019-12,picture book,1
CAMBS,Huntingdon Library,2019-12,quick pick fiction,3
CAMBS,Huntingdon Library,2019-12,teenage,11
CAMBS,Huntingdon Library,2019-12,young adult,12
CAMBS,Huntingdon Library,2019-12,young adult plus,1
CAMBS,Huntingdon Library,2020-01,adult fiction,53
CAMBS,Huntingdon Library,2020-01,adult fiction hardback,209
CAMBS,Huntingdon Library,2020-01,adult fiction large print hardback,36
CAMBS,Huntingdon Library,2020-01,adult fiction large print paperback,32
CAMBS,Huntingdon Library,2020-01,adult fiction paperback,456
CAMBS,Huntingdon Library,2020-01,adult non fiction hardback,59
CAMBS,Huntingdon Library,2020-01,adult non fiction large print hardback,2
CAMBS,Huntingdon Library,2020-01,adult non fiction large print paperback,1
CAMBS,Huntingdon Library,2020-01,adult non fiction paperback,119
CAMBS,Huntingdon Library,2020-01,adult non-fiction,13
CAMBS,Huntingdon Library,2020-01,adult spoken word cassette,1
CAMBS,Huntingdon Library,2020-01,adult spoken word cd,1
CAMBS,Huntingdon Library,2020-01,adult spoken word cd set,1
CAMBS,Huntingdon Library,2020-01,cd,2
CAMBS,Huntingdon Library,2020-01,children's fiction,11
CAMBS,Huntingdon Library,2020-01,children's non-fiction,2
CAMBS,Huntingdon Library,2020-01,children's spoken word cd set,10
CAMBS,Huntingdon Library,2020-01,dvd: 12,5
CAMBS,Huntingdon Library,2020-01,dvd: 15,3
CAMBS,Huntingdon Library,2020-01,dvd: pg,2
CAMBS,Huntingdon Library,2020-01,dvd: u,1
CAMBS,Huntingdon Library,2020-01,junior fiction,376
CAMBS,Huntingdon Library,2020-01,junior large print,5
CAMBS,Huntingdon Library,2020-01,junior non-fiction,75
CAMBS,Huntingdon Library,2020-01,map,12
CAMBS,Huntingdon Library,2020-01,music score,2
CAMBS,Huntingdon Library,2020-01,picture book,1
CAMBS,Huntingdon Library,2020-01,quick pick fiction,3
CAMBS,Huntingdon Library,2020-01,teenage,32
CAMBS,Huntingdon Library,2020-01,young adult,12
CAMBS,Huntingdon Library,2020-01,young adult plus,2
CAMBS,Linton Library,2019-12,adult fiction,4
CAMBS,Linton Library,2019-12,adult fiction hardback,33
CAMBS,Linton Library,2019-12,adult fiction large print hardback,2
CAMBS,Linton Library,2019-12,adult fiction paperback,43
CAMBS,Linton Library,2019-12,adult non fiction hardback,18
CAMBS,Linton Library,2019-12,adult non fiction paperback,8
CAMBS,Linton Library,2019-12,adult non-fiction,5
CAMBS,Linton Library,2019-12,adult spoken word cd,1
CAMBS,Linton Library,2019-12,adult spoken word cd set,3
CAMBS,Linton Library,2019-12,junior fiction,123
CAMBS,Linton Library,2019-12,junior non-fiction,15
CAMBS,Linton Library,2019-12,picture book,1
CAMBS,Linton Library,2019-12,quick pick fiction,1
CAMBS,Linton Library,2019-12,teenage,3
CAMBS,Linton Library,2019-12,young adult,2
CAMBS,Linton Library,2020-01,adult fiction,3
CAMBS,Linton Library,2020-01,adult fiction hardback,37
CAMBS,Linton Library,2020-01,adult fiction large print hardback,11
CAMBS,Linton Library,2020-01,adult fiction large print paperback,6
CAMBS,Linton Library,2020-01,adult fiction paperback,78
CAMBS,Linton Library,2020-01,adult non fiction hardback,11
CAMBS,Linton Library,2020-01,adult non fiction large print hardback,2
CAMBS,Linton Library,2020-01,adult non fiction large print paperback,1
CAMBS,Linton Library,2020-01,adult non fiction paperback,26
CAMBS,Linton Library,2020-01,adult spoken word cd set,2
CAMBS,Linton Library,2020-01,children's non-fiction,2
CAMBS,Linton Library,2020-01,junior fiction,266
CAMBS,Linton Library,2020-01,junior non-fiction,22
CAMBS,Linton Library,2020-01,picture book,1
CAMBS,Linton Library,2020-01,quick pick fiction,1
CAMBS,Linton Library,2020-01,teenage,3
CAMBS,Linton Library,2020-01,young adult,1
CAMBS,Linton Library,2020-01,young adult plus,1
CAMBS,Little Downham Library Access Point,2020-01,adult fiction hardback,3
CAMBS,Little Downham Library Access Point,2020-01,adult fiction large print hardback,3
CAMBS,Little Downham Library Access Point,2020-01,adult fiction large print paperback,4
CAMBS,Little Downham Library Access Point,2020-01,adult fiction paperback,25
CAMBS,Little Downham Library Access Point,2020-01,adult non fiction paperback,1
CAMBS,Little Downham Library Access Point,2020-01,children's fiction,1
CAMBS,Little Downham Library Access Point,2020-01,junior fiction,13
CAMBS,Little Downham Library Access Point,2020-01,quick pick fiction,1
CAMBS,Littleport Library,2019-12,adult fiction,2
CAMBS,Littleport Library,2019-12,adult fiction hardback,9
CAMBS,Littleport Library,2019-12,adult fiction large print hardback,1
CAMBS,Littleport Library,2019-12,adult fiction large print paperback,4
CAMBS,Littleport Library,2019-12,adult fiction paperback,18
CAMBS,Littleport Library,2019-12,adult non fiction hardback,8
CAMBS,Littleport Library,2019-12,adult non fiction paperback,4
CAMBS,Littleport Library,2019-12,adult non-fiction,1
CAMBS,Littleport Library,2019-12,adult spoken word cd set,7
CAMBS,Littleport Library,2019-12,junior fiction,61
CAMBS,Littleport Library,2019-12,junior non-fiction,5
CAMBS,Littleport Library,2020-01,adult fiction hardback,24
CAMBS,Littleport Library,2020-01,adult fiction large print hardback,20
CAMBS,Littleport Library,2020-01,adult fiction large print paperback,4
CAMBS,Littleport Library,2020-01,adult fiction paperback,54
CAMBS,Littleport Library,2020-01,adult non fiction hardback,23
CAMBS,Littleport Library,2020-01,adult non fiction large print paperback,1
CAMBS,Littleport Library,2020-01,adult non fiction paperback,20
CAMBS,Littleport Library,2020-01,adult spoken word cd set,5
CAMBS,Littleport Library,2020-01,children's non-fiction,1
CAMBS,Littleport Library,2020-01,dvd: u,1
CAMBS,Littleport Library,2020-01,junior fiction,97
CAMBS,Littleport Library,2020-01,junior non-fiction,11
CAMBS,Littleport Library,2020-01,picture book,1
CAMBS,Littleport Library,2020-01,young adult,1
CAMBS,March Library,2019-12,adult fiction,31
CAMBS,March Library,2019-12,adult fiction hardback,86
CAMBS,March Library,2019-12,adult fiction large print hardback,33
CAMBS,March Library,2019-12,adult fiction large print paperback,17
CAMBS,March Library,2019-12,adult fiction paperback,222
CAMBS,March Library,2019-12,adult non fiction hardback,38
CAMBS,March Library,2019-12,adult non fiction large print hardback,1
CAMBS,March Library,2019-12,adult non fiction large print paperback,1
CAMBS,March Library,2019-12,adult non fiction paperback,73
CAMBS,March Library,2019-12,adult non-fiction,6
CAMBS,March Library,2019-12,adult spoken word cassette set,8
CAMBS,March Library,2019-12,adult spoken word cd set,39
CAMBS,March Library,2019-12,children's fiction,1
CAMBS,March Library,2019-12,children's non-fiction,2
CAMBS,March Library,2019-12,children's spoken word cd set,8
CAMBS,March Library,2019-12,dvd: 12,6
CAMBS,March Library,2019-12,dvd: 15,2
CAMBS,March Library,2019-12,dvd: pg,2
CAMBS,March Library,2019-12,dvd: u,1
CAMBS,March Library,2019-12,junior fiction,187
CAMBS,March Library,2019-12,junior non-fiction,32
CAMBS,March Library,2019-12,magazine for loan,2
CAMBS,March Library,2019-12,picture book,3
CAMBS,March Library,2019-12,quick pick fiction,4
CAMBS,March Library,2019-12,teenage,11
CAMBS,March Library,2019-12,young adult,1
CAMBS,March Library,2020-01,adult fiction,30
CAMBS,March Library,2020-01,adult fiction hardback,112
CAMBS,March Library,2020-01,adult fiction large print hardback,66
CAMBS,March Library,2020-01,adult fiction large print paperback,22
CAMBS,March Library,2020-01,adult fiction paperback,248
CAMBS,March Library,2020-01,adult non fiction hardback,44
CAMBS,March Library,2020-01,adult non fiction large print paperback,1
CAMBS,March Library,2020-01,adult non fiction paperback,41
CAMBS,March Library,2020-01,adult non-fiction,1
CAMBS,March Library,2020-01,adult spoken word cassette set,2
CAMBS,March Library,2020-01,adult spoken word cd,1
CAMBS,March Library,2020-01,adult spoken word cd set,31
CAMBS,March Library,2020-01,blu-ray: 15,1
CAMBS,March Library,2020-01,children's fiction,2
CAMBS,March Library,2020-01,children's non-fiction,3
CAMBS,March Library,2020-01,children's spoken word cd set,4
CAMBS,March Library,2020-01,devices and electronics,1
CAMBS,March Library,2020-01,dvd: 12,3
CAMBS,March Library,2020-01,dvd: 15,1
CAMBS,March Library,2020-01,dvd: pg,5
CAMBS,March Library,2020-01,dvd: u,1
CAMBS,March Library,2020-01,junior fiction,306
CAMBS,March Library,2020-01,junior non-fiction,45
CAMBS,March Library,2020-01,magazine for loan,2
CAMBS,March Library,2020-01,picture book,2
CAMBS,March Library,2020-01,quick pick fiction,2
CAMBS,March Library,2020-01,teenage,3
CAMBS,March Library,2020-01,young adult,5
CAMBS,March Library,2020-01,young adult plus,1
CAMBS,Melbourn Library Access Point,2019-12,adult fiction hardback,4
CAMBS,Melbourn Library Access Point,2019-12,adult fiction large print paperback,2
CAMBS,Melbourn Library Access Point,2019-12,adult fiction paperback,38
CAMBS,Melbourn Library Access Point,2019-12,adult non fiction paperback,1
CAMBS,Melbourn Library Access Point,2019-12,children's fiction,6
CAMBS,Melbourn Library Access Point,2019-12,junior fiction,34
CAMBS,Melbourn Library Access Point,2019-12,junior non-fiction,5
CAMBS,Melbourn Library Access Point,2019-12,picture book,1
CAMBS,Melbourn Library Access Point,2020-01,adult fiction,1
CAMBS,Melbourn Library Access Point,2020-01,adult fiction hardback,4
CAMBS,Melbourn Library Access Point,2020-01,adult fiction paperback,40
CAMBS,Melbourn Library Access Point,2020-01,adult non fiction hardback,3
CAMBS,Melbourn Library Access Point,2020-01,adult non fiction paperback,1
CAMBS,Melbourn Library Access Point,2020-01,children's fiction,2
CAMBS,Melbourn Library Access Point,2020-01,junior fiction,90
CAMBS,Melbourn Library Access Point,2020-01,junior non-fiction,2
CAMBS,Melbourn Library Access Point,2020-01,picture book,2
CAMBS,Milton Road Library,2019-12,adult fiction,2
CAMBS,Milton Road Library,2019-12,adult fiction hardback,4
CAMBS,Milton Road Library,2019-12,adult fiction large print paperback,3
CAMBS,Milton Road Library,2019-12,adult fiction paperback,16
CAMBS,Milton Road Library,2019-12,adult non fiction hardback,8
CAMBS,Milton Road Library,2019-12,adult non fiction paperback,17
CAMBS,Milton Road Library,2019-12,adult spoken word cd set,2
CAMBS,Milton Road Library,2019-12,dvd: 15,1
CAMBS,Milton Road Library,2019-12,dvd: u,2
CAMBS,Milton Road Library,2019-12,junior fiction,46
CAMBS,Milton Road Library,2019-12,junior fiction hardback,1
CAMBS,Milton Road Library,2019-12,junior fiction paperback,1
CAMBS,Milton Road Library,2019-12,junior non-fiction,12
CAMBS,Milton Road Library,2019-12,teenage,1
CAMBS,Milton Road Library,2019-12,young adult plus,1
CAMBS,Milton Road Library,2020-01,adult fiction,4
CAMBS,Milton Road Library,2020-01,adult fiction hardback,17
CAMBS,Milton Road Library,2020-01,adult fiction large print hardback,4
CAMBS,Milton Road Library,2020-01,adult fiction large print paperback,7
CAMBS,Milton Road Library,2020-01,adult fiction paperback,45
CAMBS,Milton Road Library,2020-01,adult non fiction hardback,13
CAMBS,Milton Road Library,2020-01,adult non fiction large print hardback,2
CAMBS,Milton Road Library,2020-01,adult non fiction large print paperback,1
CAMBS,Milton Road Library,2020-01,adult non fiction paperback,29
CAMBS,Milton Road Library,2020-01,adult spoken word cd,1
CAMBS,Milton Road Library,2020-01,adult spoken word cd set,5
CAMBS,Milton Road Library,2020-01,children's non-fiction,1
CAMBS,Milton Road Library,2020-01,children's spoken word cd set,9
CAMBS,Milton Road Library,2020-01,dvd: 15,1
CAMBS,Milton Road Library,2020-01,junior fiction,154
CAMBS,Milton Road Library,2020-01,junior non-fiction,42
CAMBS,Milton Road Library,2020-01,teenage,5
CAMBS,Milton Road Library,2020-01,young adult,3
CAMBS,Mobile Library,2019-12,adult fiction,35
CAMBS,Mobile Library,2019-12,adult fiction hardback,77
CAMBS,Mobile Library,2019-12,adult fiction large print hardback,18
CAMBS,Mobile Library,2019-12,adult fiction large print paperback,19
CAMBS,Mobile Library,2019-12,adult fiction paperback,162
CAMBS,Mobile Library,2019-12,adult non fiction hardback,23
CAMBS,Mobile Library,2019-12,adult non fiction paperback,29
CAMBS,Mobile Library,2019-12,adult non-fiction,4
CAMBS,Mobile Library,2019-12,adult spoken word cassette set,13
CAMBS,Mobile Library,2019-12,adult spoken word cd set,16
CAMBS,Mobile Library,2019-12,children's fiction,3
CAMBS,Mobile Library,2019-12,children's non-fiction,2
CAMBS,Mobile Library,2019-12,junior fiction,39
CAMBS,Mobile Library,2019-12,junior non-fiction,10
CAMBS,Mobile Library,2019-12,teenage,8
CAMBS,Mobile Library,2020-01,adult fiction,45
CAMBS,Mobile Library,2020-01,adult fiction hardback,184
CAMBS,Mobile Library,2020-01,adult fiction large print hardback,125
CAMBS,Mobile Library,2020-01,adult fiction large print paperback,139
CAMBS,Mobile Library,2020-01,adult fiction paperback,434
CAMBS,Mobile Library,2020-01,adult non fiction hardback,44
CAMBS,Mobile Library,2020-01,adult non fiction large print hardback,5
CAMBS,Mobile Library,2020-01,adult non fiction large print paperback,1
CAMBS,Mobile Library,2020-01,adult non fiction paperback,66
CAMBS,Mobile Library,2020-01,adult non-fiction,8
CAMBS,Mobile Library,2020-01,adult spoken word cassette set,6
CAMBS,Mobile Library,2020-01,adult spoken word cd,1
CAMBS,Mobile Library,2020-01,adult spoken word cd set,7
CAMBS,Mobile Library,2020-01,bott village college fiction,1
CAMBS,Mobile Library,2020-01,children's fiction,17
CAMBS,Mobile Library,2020-01,children's non-fiction,1
CAMBS,Mobile Library,2020-01,dvd: 15,1
CAMBS,Mobile Library,2020-01,junior fiction,254
CAMBS,Mobile Library,2020-01,junior non-fiction,16
CAMBS,Mobile Library,2020-01,quick pick fiction,4
CAMBS,Mobile Library,2020-01,quick pick non-fiction,1
CAMBS,Mobile Library,2020-01,young adult,1
CAMBS,Papworth Library,2019-12,adult fiction,1
CAMBS,Papworth Library,2019-12,adult fiction hardback,5
CAMBS,Papworth Library,2019-12,adult fiction large print hardback,2
CAMBS,Papworth Library,2019-12,adult fiction paperback,5
CAMBS,Papworth Library,2019-12,adult non fiction hardback,1
CAMBS,Papworth Library,2019-12,adult non fiction paperback,6
CAMBS,Papworth Library,2019-12,adult non-fiction,1
CAMBS,Papworth Library,2019-12,children's spoken word cd set,4
CAMBS,Papworth Library,2019-12,devices and electronics,1
CAMBS,Papworth Library,2019-12,junior fiction,67
CAMBS,Papworth Library,2019-12,junior non-fiction,1
CAMBS,Papworth Library,2019-12,teenage,3
CAMBS,Papworth Library,2020-01,adult fiction,1
CAMBS,Papworth Library,2020-01,adult fiction hardback,8
CAMBS,Papworth Library,2020-01,adult fiction large print hardback,4
CAMBS,Papworth Library,2020-01,adult fiction large print paperback,1
CAMBS,Papworth Library,2020-01,adult fiction paperback,19
CAMBS,Papworth Library,2020-01,adult non fiction hardback,2
CAMBS,Papworth Library,2020-01,adult non fiction paperback,17
CAMBS,Papworth Library,2020-01,adult spoken word cassette set,1
CAMBS,Papworth Library,2020-01,adult spoken word cd set,1
CAMBS,Papworth Library,2020-01,dvd: u,1
CAMBS,Papworth Library,2020-01,junior fiction,88
CAMBS,Papworth Library,2020-01,junior non-fiction,7
CAMBS,Papworth Library,2020-01,teenage,4
CAMBS,Papworth Library,2020-01,young adult,2
CAMBS,Papworth Library,2020-01,young adult plus,1
CAMBS,Ramsey Library,2019-12,adult fiction,9
CAMBS,Ramsey Library,2019-12,adult fiction hardback,50
CAMBS,Ramsey Library,2019-12,adult fiction large print hardback,5
CAMBS,Ramsey Library,2019-12,adult fiction large print paperback,6
CAMBS,Ramsey Library,2019-12,adult fiction paperback,71
CAMBS,Ramsey Library,2019-12,adult non fiction hardback,15
CAMBS,Ramsey Library,2019-12,adult non fiction large print hardback,1
CAMBS,Ramsey Library,2019-12,adult non fiction paperback,22
CAMBS,Ramsey Library,2019-12,adult non-fiction,8
CAMBS,Ramsey Library,2019-12,children's fiction,1
CAMBS,Ramsey Library,2019-12,children's non-fiction,1
CAMBS,Ramsey Library,2019-12,junior fiction,85
CAMBS,Ramsey Library,2019-12,junior non-fiction,9
CAMBS,Ramsey Library,2019-12,quick pick fiction,1
CAMBS,Ramsey Library,2019-12,teenage,1
CAMBS,Ramsey Library,2020-01,adult fiction,10
CAMBS,Ramsey Library,2020-01,adult fiction hardback,50
CAMBS,Ramsey Library,2020-01,adult fiction large print hardback,3
CAMBS,Ramsey Library,2020-01,adult fiction large print paperback,2
CAMBS,Ramsey Library,2020-01,adult fiction paperback,115
CAMBS,Ramsey Library,2020-01,adult non fiction hardback,18
CAMBS,Ramsey Library,2020-01,adult non fiction large print hardback,1
CAMBS,Ramsey Library,2020-01,adult non fiction large print paperback,1
CAMBS,Ramsey Library,2020-01,adult non fiction paperback,21
CAMBS,Ramsey Library,2020-01,adult non-fiction,5
CAMBS,Ramsey Library,2020-01,adult spoken word cd set,2
CAMBS,Ramsey Library,2020-01,children's fiction,2
CAMBS,Ramsey Library,2020-01,junior fiction,128
CAMBS,Ramsey Library,2020-01,junior non-fiction,11
CAMBS,Ramsey Library,2020-01,quick pick fiction,3
CAMBS,Ramsey Library,2020-01,teenage,6
CAMBS,Ramsey Library,2020-01,young adult,2
CAMBS,Rock Road Library,2019-12,adult fiction,4
CAMBS,Rock Road Library,2019-12,adult fiction hardback,17
CAMBS,Rock Road Library,2019-12,adult fiction large print paperback,4
CAMBS,Rock Road Library,2019-12,adult fiction paperback,52
CAMBS,Rock Road Library,2019-12,adult non fiction hardback,9
CAMBS,Rock Road Library,2019-12,adult non fiction paperback,7
CAMBS,Rock Road Library,2019-12,adult non-fiction,1
CAMBS,Rock Road Library,2019-12,adult spoken word cd,1
CAMBS,Rock Road Library,2019-12,adult spoken word cd set,2
CAMBS,Rock Road Library,2019-12,blu-ray: 12,1
CAMBS,Rock Road Library,2019-12,children's non-fiction,1
CAMBS,Rock Road Library,2019-12,children's spoken word cd set,4
CAMBS,Rock Road Library,2019-12,dvd: 12,1
CAMBS,Rock Road Library,2019-12,dvd: 15,1
CAMBS,Rock Road Library,2019-12,dvd: pg,1
CAMBS,Rock Road Library,2019-12,dvd: u,2
CAMBS,Rock Road Library,2019-12,junior fiction,200
CAMBS,Rock Road Library,2019-12,junior non-fiction,28
CAMBS,Rock Road Library,2019-12,teenage,10
CAMBS,Rock Road Library,2019-12,young adult,4
CAMBS,Rock Road Library,2019-12,young adult plus,3
CAMBS,Rock Road Library,2020-01,adult fiction,6
CAMBS,Rock Road Library,2020-01,adult fiction hardback,44
CAMBS,Rock Road Library,2020-01,adult fiction large print hardback,4
CAMBS,Rock Road Library,2020-01,adult fiction large print paperback,5
CAMBS,Rock Road Library,2020-01,adult fiction paperback,91
CAMBS,Rock Road Library,2020-01,adult non fiction hardback,24
CAMBS,Rock Road Library,2020-01,adult non fiction large print hardback,1
CAMBS,Rock Road Library,2020-01,adult non fiction paperback,23
CAMBS,Rock Road Library,2020-01,adult non-fiction,3
CAMBS,Rock Road Library,2020-01,adult spoken word cd set,9
CAMBS,Rock Road Library,2020-01,children's fiction,4
CAMBS,Rock Road Library,2020-01,children's non-fiction,1
CAMBS,Rock Road Library,2020-01,children's spoken word cd set,6
CAMBS,Rock Road Library,2020-01,dvd: 12,1
CAMBS,Rock Road Library,2020-01,dvd: u,2
CAMBS,Rock Road Library,2020-01,junior fiction,244
CAMBS,Rock Road Library,2020-01,junior non-fiction,68
CAMBS,Rock Road Library,2020-01,picture book,2
CAMBS,Rock Road Library,2020-01,quick pick fiction,1
CAMBS,Rock Road Library,2020-01,teenage,14
CAMBS,Rock Road Library,2020-01,young adult,6
CAMBS,Rock Road Library,2020-01,young adult plus,1
CAMBS,Sawston Library,2019-12,adult fiction,1
CAMBS,Sawston Library,2019-12,adult fiction hardback,18
CAMBS,Sawston Library,2019-12,adult fiction large print hardback,2
CAMBS,Sawston Library,2019-12,adult fiction paperback,47
CAMBS,Sawston Library,2019-12,adult non fiction hardback,7
CAMBS,Sawston Library,2019-12,adult non fiction paperback,16
CAMBS,Sawston Library,2019-12,adult spoken word cd,1
CAMBS,Sawston Library,2019-12,children's spoken word cd set,1
CAMBS,Sawston Library,2019-12,junior fiction,109
CAMBS,Sawston Library,2019-12,junior non-fiction,9
CAMBS,Sawston Library,2019-12,picture book,2
CAMBS,Sawston Library,2019-12,quick pick fiction,2
CAMBS,Sawston Library,2020-01,adult fiction,4
CAMBS,Sawston Library,2020-01,adult fiction hardback,20
CAMBS,Sawston Library,2020-01,adult fiction large print hardback,4
CAMBS,Sawston Library,2020-01,adult fiction large print paperback,6
CAMBS,Sawston Library,2020-01,adult fiction paperback,42
CAMBS,Sawston Library,2020-01,adult non fiction hardback,6
CAMBS,Sawston Library,2020-01,adult non fiction large print hardback,1
CAMBS,Sawston Library,2020-01,adult non fiction large print paperback,2
CAMBS,Sawston Library,2020-01,adult non fiction paperback,20
CAMBS,Sawston Library,2020-01,adult non-fiction,1
CAMBS,Sawston Library,2020-01,adult spoken word cd,2
CAMBS,Sawston Library,2020-01,adult spoken word cd set,7
CAMBS,Sawston Library,2020-01,children's spoken word cassette set,1
CAMBS,Sawston Library,2020-01,children's spoken word cd set,8
CAMBS,Sawston Library,2020-01,junior fiction,255
CAMBS,Sawston Library,2020-01,junior non-fiction,39
CAMBS,Sawston Library,2020-01,picture book,1
CAMBS,Sawston Library,2020-01,quick pick fiction,1
CAMBS,Sawston Library,2020-01,teenage,14
CAMBS,Sawston Library,2020-01,young adult,9
CAMBS,Sawston Library,2020-01,young adult plus,4
